,Gender,Age,Socioeconomic Status,Employment Status,Age Category
1487,Female,16.731381082813904,Very Disadvantaged,Employed,15-24
1488,Male,53.57083790372988,Affluent,Employed,45-54
1489,Female,27.472772613231946,Disadvantaged,Unemployed,25-34
1490,Male,59.07798913046753,Very Affluent,Employed,55-64
1491,Male,54.50195756467004,Affluent,Not in Labour Force,55-64
1492,Female,25.99337907202128,Very Disadvantaged,Employed,25-34
1493,Male,62.91178880373729,Very Affluent,Not in Labour Force,55-64
1494,Female,21.417909532573855,Very Disadvantaged,Employed,15-24
1495,Female,27.30172817427113,Disadvantaged,Employed,25-34
1496,Female,35.114951482629905,Disadvantaged,Employed,35-44
1497,Female,25.86474917798739,Very Disadvantaged,Employed,25-34
1498,Female,33.92037255734927,Disadvantaged,Not in Labour Force,25-34
1499,Male,43.72126683711703,Average,Employed,35-44
1500,Female,24.995508345506405,Very Disadvantaged,Employed,25-34
1501,Male,54.557586320492376,Affluent,Employed,55-64
1502,Female,17.55742466169436,Very Disadvantaged,Unemployed,15-24
1503,Female,15.871296653808045,Very Disadvantaged,Employed,15-24
1504,Female,32.805360998049096,Disadvantaged,Employed,25-34
1505,Male,41.870389181475765,Average,Employed,35-44
1506,Male,46.63190101818176,Affluent,Employed,45-54
1507,Male,62.61575497989192,Very Affluent,Employed,55-64
1508,Male,47.187825046295394,Affluent,Employed,45-54
1509,Female,16.760742335017383,Very Disadvantaged,Unemployed,15-24
1510,Male,49.93701915002215,Affluent,Employed,45-54
1511,Male,62.92091931017085,Very Affluent,Not in Labour Force,55-64
1512,Male,53.074104893805945,Affluent,Not in Labour Force,45-54
1513,Female,30.21199329369287,Disadvantaged,Employed,25-34
1514,Female,41.01990425623549,Average,Not in Labour Force,35-44
1515,Female,23.217664294436183,Very Disadvantaged,Employed,15-24
1516,Male,45.62690045650337,Affluent,Employed,45-54
1517,Male,49.837763538223314,Affluent,Employed,45-54
1518,Female,20.485806938685517,Very Disadvantaged,Not in Labour Force,15-24
1519,Female,36.497624256052546,Average,Employed,35-44
1520,Male,41.28167924713655,Average,Employed,35-44
1521,Male,56.618420387103654,Very Affluent,Employed,55-64
1522,Female,21.768812578708804,Very Disadvantaged,Employed,15-24
1523,Female,39.47949504144558,Average,Unemployed,35-44
1524,Male,43.70313077292465,Average,Employed,35-44
1525,Male,42.284254378023185,Average,Employed,35-44
1526,Female,26.405530031537516,Very Disadvantaged,Employed,25-34
1527,Male,44.598537204850274,Average,Employed,45-54
1528,Male,55.20589522716607,Affluent,Employed,55-64
1529,Male,93.41312596826296,Very Affluent,Not in Labour Force,75+
1530,Female,18.871609189954146,Very Disadvantaged,Unemployed,15-24
1531,Female,18.189241075516563,Very Disadvantaged,Not in Labour Force,15-24
1532,Male,41.96890210283915,Average,Employed,35-44
1533,Male,45.37443751374664,Affluent,Employed,45-54
1534,Female,20.7620820412092,Very Disadvantaged,Employed,15-24
1535,Male,50.72115960023295,Affluent,Employed,45-54
1536,Female,22.763532410494808,Very Disadvantaged,Employed,15-24
1537,Female,27.059529829320326,Very Disadvantaged,Employed,25-34
1538,Male,54.78148285288083,Affluent,Employed,55-64
1539,Female,38.752328512108605,Average,Unemployed,35-44
1540,Female,32.300285058838384,Disadvantaged,Employed,25-34
1541,Female,34.90771920777554,Disadvantaged,Not in Labour Force,35-44
1542,Male,53.7887574070333,Affluent,Employed,45-54
1543,Female,26.211956037293803,Very Disadvantaged,Not in Labour Force,25-34
1544,Female,23.965907238558824,Very Disadvantaged,Not in Labour Force,15-24
1545,Female,40.7234025417569,Average,Employed,35-44
1546,Female,16.175060669989225,Very Disadvantaged,Employed,15-24
1547,Female,34.01134496345504,Disadvantaged,Employed,35-44
1548,Female,33.58878179672532,Disadvantaged,Unemployed,25-34
1549,Female,40.88982553059044,Average,Employed,35-44
1550,Female,40.349845689821976,Average,Not in Labour Force,35-44
1551,Female,34.143727466561195,Disadvantaged,Employed,35-44
1552,Female,27.311687203073234,Disadvantaged,Employed,25-34
1553,Female,25.15289900400066,Very Disadvantaged,Employed,25-34
1554,Male,43.4145932392577,Average,Employed,35-44
1555,Female,38.32950587762254,Average,Employed,35-44
1556,Male,60.267538574286164,Very Affluent,Employed,55-64
1557,Male,65.78010518703988,Very Affluent,Not in Labour Force,65-74
1558,Male,62.14606203152531,Very Affluent,Employed,55-64
1559,Male,74.76216818880613,Very Affluent,Not in Labour Force,75+
1560,Female,27.30779920166164,Disadvantaged,Not in Labour Force,25-34
1561,Male,51.634560644965134,Affluent,Employed,45-54
1562,Male,43.88517858934077,Average,Employed,35-44
1563,Male,44.46614619643975,Average,Employed,45-54
1564,Female,38.789087463935566,Average,Employed,35-44
1565,Male,44.38209563126434,Average,Employed,45-54
1566,Female,19.852887049131247,Very Disadvantaged,Unemployed,15-24
1567,Female,15.478279109513299,Very Disadvantaged,Employed,15-24
1568,Female,39.28189274105608,Average,Employed,35-44
1569,Male,55.4867743058539,Affluent,Employed,55-64
1570,Male,67.25724400770794,Very Affluent,Not in Labour Force,65-74
1571,Male,51.29283667266461,Affluent,Employed,45-54
1572,Female,23.314832347601595,Very Disadvantaged,Not in Labour Force,15-24
1573,Male,51.229285907178586,Affluent,Employed,45-54
1574,Male,45.94842762282168,Affluent,Not in Labour Force,45-54
1575,Female,35.74067341203747,Disadvantaged,Employed,35-44
1576,Male,55.16087207601123,Affluent,Employed,55-64
1577,Female,21.908818508725822,Very Disadvantaged,Employed,15-24
1578,Female,36.447819011158614,Average,Employed,35-44
1579,Male,52.547391976595264,Affluent,Employed,45-54
1580,Female,15.98550079583839,Very Disadvantaged,Employed,15-24
1581,Male,67.96989219400838,Very Affluent,Not in Labour Force,65-74
1582,Female,38.94182863917838,Average,Employed,35-44
1583,Female,19.972544263326927,Very Disadvantaged,Not in Labour Force,15-24
1584,Male,65.63208810788382,Very Affluent,Not in Labour Force,65-74
1585,Female,23.16802976315803,Very Disadvantaged,Not in Labour Force,15-24
1586,Male,63.94908262742371,Very Affluent,Employed,55-64
1587,Female,27.443382709818536,Disadvantaged,Not in Labour Force,25-34
1588,Male,68.51360700098996,Very Affluent,Employed,65-74
1589,Female,40.59415719845647,Average,Employed,35-44
1590,Female,34.571002238724404,Disadvantaged,Employed,35-44
1591,Female,25.201511100638697,Very Disadvantaged,Employed,25-34
1592,Male,51.6345669338407,Affluent,Employed,45-54
1593,Male,58.66648887359477,Very Affluent,Employed,55-64
1594,Female,32.749757191262496,Disadvantaged,Employed,25-34
1595,Male,78.5129595018225,Very Affluent,Not in Labour Force,75+
1596,Female,39.487344555212104,Average,Not in Labour Force,35-44
1597,Male,43.64840860348828,Average,Employed,35-44
1598,Female,24.44943613871692,Very Disadvantaged,Employed,25-34
1599,Female,21.81471290398537,Very Disadvantaged,Employed,15-24
1600,Female,21.022843603259968,Very Disadvantaged,Unemployed,15-24
1601,Male,53.17007880943017,Affluent,Employed,45-54
1602,Male,52.54116982328511,Affluent,Employed,45-54
1603,Female,32.59888640299981,Disadvantaged,Unemployed,25-34
1604,Male,59.45154567112654,Very Affluent,Employed,55-64
1605,Male,42.21987120994602,Average,Unemployed,35-44
1606,Male,58.46054057953775,Very Affluent,Employed,55-64
1607,Female,26.495036564370885,Very Disadvantaged,Employed,25-34
1608,Female,30.80637367978187,Disadvantaged,Employed,25-34
1609,Male,44.42588724426007,Average,Unemployed,45-54
1610,Male,68.21973798352973,Very Affluent,Not in Labour Force,65-74
1611,Female,19.174561365398283,Very Disadvantaged,Not in Labour Force,15-24
1612,Male,57.40870357837951,Very Affluent,Employed,55-64
1613,Female,25.397508590299122,Very Disadvantaged,Employed,25-34
1614,Female,38.04783840611709,Average,Employed,35-44
1615,Female,34.8570721650284,Disadvantaged,Unemployed,35-44
1616,Female,19.726636290176877,Very Disadvantaged,Employed,15-24
1617,Male,55.328948305533885,Affluent,Employed,55-64
1618,Male,41.232978914858975,Average,Employed,35-44
1619,Female,26.027885443152627,Very Disadvantaged,Unemployed,25-34
1620,Male,41.60778768970726,Average,Unemployed,35-44
1621,Male,44.795035643058824,Average,Employed,45-54
1622,Female,38.258219444596385,Average,Employed,35-44
1623,Female,24.251560148039687,Very Disadvantaged,Employed,25-34
1624,Male,73.77158066428453,Very Affluent,Not in Labour Force,65-74
1625,Female,37.09340622973073,Average,Not in Labour Force,35-44
1626,Female,23.542160665468955,Very Disadvantaged,Employed,15-24
1627,Male,47.67396707552493,Affluent,Employed,45-54
1628,Male,44.65065456642175,Average,Employed,45-54
1629,Female,29.823570187560787,Disadvantaged,Not in Labour Force,25-34
1630,Female,31.331458420993442,Disadvantaged,Employed,25-34
1631,Male,56.495399454089196,Very Affluent,Employed,55-64
1632,Female,19.102766217279683,Very Disadvantaged,Employed,15-24
1633,Female,30.909115790090034,Disadvantaged,Employed,25-34
1634,Male,69.22193024721348,Very Affluent,Not in Labour Force,65-74
1635,Male,58.907823568972844,Very Affluent,Employed,55-64
1636,Male,65.42657121514236,Very Affluent,Not in Labour Force,65-74
1637,Male,44.963365721408366,Average,Employed,45-54
1638,Male,54.417270464675234,Affluent,Employed,55-64
1639,Female,33.87028742886386,Disadvantaged,Employed,25-34
1640,Female,35.61617871259215,Disadvantaged,Employed,35-44
1641,Female,35.35719113857484,Disadvantaged,Employed,35-44
1642,Female,37.449902279096165,Average,Not in Labour Force,35-44
1643,Male,50.56311552946655,Affluent,Employed,45-54
1644,Female,29.327301798968726,Disadvantaged,Employed,25-34
1645,Female,26.076066903651345,Very Disadvantaged,Employed,25-34
1646,Female,28.001198687087935,Disadvantaged,Employed,25-34
1647,Male,51.52350859375746,Affluent,Employed,45-54
1648,Male,46.71718059164712,Affluent,Employed,45-54
1649,Male,55.770633602989776,Affluent,Employed,55-64
1650,Male,55.19345007266962,Affluent,Employed,55-64
1651,Female,24.35771407201451,Very Disadvantaged,Employed,25-34
1652,Female,21.081841312376188,Very Disadvantaged,Employed,15-24
1653,Female,29.917873308901235,Disadvantaged,Employed,25-34
1654,Male,47.137750714395416,Affluent,Unemployed,45-54
1655,Male,43.81139548974163,Average,Employed,35-44
1656,Male,63.38855510037404,Very Affluent,Employed,55-64
1657,Male,66.63454404439204,Very Affluent,Not in Labour Force,65-74
1658,Female,24.75377890453374,Very Disadvantaged,Employed,25-34
1659,Female,22.92492020164214,Very Disadvantaged,Employed,15-24
1660,Female,15.800901205407794,Very Disadvantaged,Not in Labour Force,15-24
1661,Female,30.98463118237107,Disadvantaged,Employed,25-34
1662,Female,23.146593335314915,Very Disadvantaged,Employed,15-24
1663,Female,38.82895619567643,Average,Employed,35-44
1664,Female,26.614343913844337,Very Disadvantaged,Employed,25-34
1665,Female,15.609560361266198,Very Disadvantaged,Employed,15-24
1666,Male,64.11338151232175,Very Affluent,Not in Labour Force,65-74
1667,Male,92.36107968386169,Very Affluent,Not in Labour Force,75+
1668,Male,56.545224012420896,Very Affluent,Employed,55-64
1669,Female,17.307247040778233,Very Disadvantaged,Not in Labour Force,15-24
1670,Male,42.25466895241757,Average,Employed,35-44
1671,Male,45.68729277832176,Affluent,Unemployed,45-54
1672,Male,59.94636223164628,Very Affluent,Employed,55-64
1673,Female,36.7534662776857,Average,Employed,35-44
1674,Female,30.133932658284422,Disadvantaged,Employed,25-34
1675,Male,53.27580070750846,Affluent,Not in Labour Force,45-54
1676,Male,55.542387589839194,Affluent,Employed,55-64
1677,Male,55.295218454321684,Affluent,Employed,55-64
1678,Male,71.06004833877941,Very Affluent,Not in Labour Force,65-74
1679,Female,36.32891816373588,Average,Not in Labour Force,35-44
1680,Male,48.03420825105614,Affluent,Employed,45-54
1681,Male,41.82174408495988,Average,Employed,35-44
1682,Female,37.109640462255335,Average,Employed,35-44
1683,Female,36.64800632541815,Average,Employed,35-44
1684,Female,35.06517553643672,Disadvantaged,Employed,35-44
1685,Male,59.3384470869708,Very Affluent,Employed,55-64
1686,Female,39.404905411123785,Average,Employed,35-44
1687,Male,44.51118499078531,Average,Employed,45-54
1688,Female,25.45449766600091,Very Disadvantaged,Unemployed,25-34
1689,Male,42.78669174271971,Average,Employed,35-44
1690,Male,42.41141174036984,Average,Employed,35-44
1691,Female,41.02235700090111,Average,Employed,35-44
1692,Male,47.28315386943689,Affluent,Employed,45-54
1693,Male,42.67514911067488,Average,Employed,35-44
1694,Female,32.72184256906693,Disadvantaged,Employed,25-34
1695,Male,55.35382862742341,Affluent,Employed,55-64
1696,Male,43.569931105033746,Average,Employed,35-44
1697,Female,36.998078688211784,Average,Employed,35-44
1698,Female,33.15340904559264,Disadvantaged,Employed,25-34
1699,Male,66.95563179578471,Very Affluent,Not in Labour Force,65-74
1700,Male,68.29379640941258,Very Affluent,Not in Labour Force,65-74
1701,Female,15.850571292546014,Very Disadvantaged,Not in Labour Force,15-24
1702,Female,21.419006573748376,Very Disadvantaged,Employed,15-24
1703,Female,23.76607724959822,Very Disadvantaged,Employed,15-24
1704,Male,46.51641494205809,Affluent,Employed,45-54
1705,Female,30.147626063096297,Disadvantaged,Employed,25-34
1706,Male,44.402078729058424,Average,Employed,45-54
1707,Male,43.13685691592433,Average,Employed,35-44
1708,Female,27.210309222507256,Disadvantaged,Unemployed,25-34
1709,Male,47.9773143399299,Affluent,Employed,45-54
1710,Male,70.26659959817181,Very Affluent,Not in Labour Force,65-74
1711,Female,34.428720400723364,Disadvantaged,Not in Labour Force,35-44
1712,Female,17.42459799630022,Very Disadvantaged,Not in Labour Force,15-24
1713,Female,39.5230341893577,Average,Employed,35-44
1714,Female,19.83429685676611,Very Disadvantaged,Not in Labour Force,15-24
1715,Female,40.65254064900763,Average,Employed,35-44
1716,Male,49.776113893406375,Affluent,Employed,45-54
1717,Female,20.381779878665682,Very Disadvantaged,Unemployed,15-24
1718,Female,28.64569055639438,Disadvantaged,Employed,25-34
1719,Female,40.56942896316652,Average,Employed,35-44
1720,Male,42.58992926011792,Average,Employed,35-44
1721,Female,40.46229372847095,Average,Not in Labour Force,35-44
1722,Male,56.2229584645092,Very Affluent,Unemployed,55-64
1723,Female,32.2602602716348,Disadvantaged,Employed,25-34
1724,Female,22.642797124730777,Very Disadvantaged,Employed,15-24
1725,Male,43.38112553698144,Average,Employed,35-44
1726,Male,54.14441600556114,Affluent,Employed,55-64
1727,Female,37.851163286433106,Average,Not in Labour Force,35-44
1728,Female,20.840688999457925,Very Disadvantaged,Unemployed,15-24
1729,Male,45.149523286632245,Average,Employed,45-54
1730,Male,59.51154094361414,Very Affluent,Not in Labour Force,55-64
1731,Female,26.35452975963367,Very Disadvantaged,Employed,25-34
1732,Male,65.99468168877999,Very Affluent,Not in Labour Force,65-74
1733,Female,22.044007046160104,Very Disadvantaged,Employed,15-24
1734,Female,23.36455889462202,Very Disadvantaged,Employed,15-24
1735,Female,15.328846881109698,Very Disadvantaged,Unemployed,15-24
1736,Male,55.120575321269925,Affluent,Employed,55-64
1737,Male,43.39010694281364,Average,Employed,35-44
1738,Male,48.149825056574315,Affluent,Employed,45-54
1739,Male,41.6518765616275,Average,Employed,35-44
1740,Male,55.85112815666748,Affluent,Not in Labour Force,55-64
1741,Female,29.67878813462919,Disadvantaged,Not in Labour Force,25-34
1742,Male,42.03800899960585,Average,Employed,35-44
1743,Female,19.10915312624796,Very Disadvantaged,Not in Labour Force,15-24
1744,Female,23.943529450268045,Very Disadvantaged,Employed,15-24
1745,Female,24.19643553218865,Very Disadvantaged,Not in Labour Force,25-34
1746,Male,48.31343459762539,Affluent,Employed,45-54
1747,Female,22.28747686356631,Very Disadvantaged,Not in Labour Force,15-24
1748,Male,53.40990715821583,Affluent,Employed,45-54
1749,Female,38.681526348575375,Average,Employed,35-44
1750,Male,49.880803837393074,Affluent,Employed,45-54
1751,Female,34.42694732371564,Disadvantaged,Employed,35-44
1752,Male,54.07711871543932,Affluent,Employed,55-64
1753,Male,57.339248774926546,Very Affluent,Employed,55-64
1754,Male,67.7700967489043,Very Affluent,Not in Labour Force,65-74
1755,Female,27.540644538208003,Disadvantaged,Employed,25-34
1756,Male,45.260439506004296,Affluent,Employed,45-54
1757,Female,17.615428014335873,Very Disadvantaged,Not in Labour Force,15-24
1758,Female,31.584115188407452,Disadvantaged,Employed,25-34
1759,Female,18.16315056917095,Very Disadvantaged,Unemployed,15-24
1760,Female,21.66832761638954,Very Disadvantaged,Unemployed,15-24
1761,Female,31.942930372126952,Disadvantaged,Employed,25-34
1762,Female,19.369482540057437,Very Disadvantaged,Employed,15-24
1763,Male,44.43145525012611,Average,Employed,45-54
1764,Male,51.52496963374655,Affluent,Not in Labour Force,45-54
1765,Male,53.03712048049822,Affluent,Employed,45-54
1766,Male,50.09142521436453,Affluent,Employed,45-54
1767,Female,22.605017727185697,Very Disadvantaged,Employed,15-24
1768,Female,31.30988961087,Disadvantaged,Employed,25-34
1769,Female,30.16866267654266,Disadvantaged,Employed,25-34
1770,Female,19.75549818832801,Very Disadvantaged,Not in Labour Force,15-24
1771,Female,15.176449428684858,Very Disadvantaged,Employed,15-24
1772,Female,30.502045205062892,Disadvantaged,Employed,25-34
1773,Female,17.568040827948472,Very Disadvantaged,Not in Labour Force,15-24
1774,Female,39.27537005963284,Average,Employed,35-44
1775,Male,42.501605251200246,Average,Employed,35-44
1776,Female,27.429368495186893,Disadvantaged,Unemployed,25-34
1777,Female,28.596272251460434,Disadvantaged,Employed,25-34
1778,Male,47.79019845539264,Affluent,Employed,45-54
1779,Female,16.532227340229692,Very Disadvantaged,Unemployed,15-24
1780,Female,31.8751504046918,Disadvantaged,Employed,25-34
1781,Female,39.82465557280052,Average,Employed,35-44
1782,Male,41.62747062924001,Average,Employed,35-44
1783,Male,73.26805967772788,Very Affluent,Not in Labour Force,65-74
1784,Male,53.62933940448258,Affluent,Employed,45-54
1785,Male,56.36866119160671,Very Affluent,Employed,55-64
1786,Female,33.225906963684416,Disadvantaged,Not in Labour Force,25-34
1787,Female,35.30636354559461,Disadvantaged,Employed,35-44
1788,Male,49.50920363901059,Affluent,Employed,45-54
1789,Male,50.58230118147455,Affluent,Employed,45-54
1790,Female,22.46094488629806,Very Disadvantaged,Employed,15-24
1791,Female,30.428512661530213,Disadvantaged,Not in Labour Force,25-34
1792,Female,17.333519841862575,Very Disadvantaged,Not in Labour Force,15-24
1793,Female,36.36314781298798,Average,Not in Labour Force,35-44
1794,Female,15.491892813316763,Very Disadvantaged,Not in Labour Force,15-24
1795,Male,48.57202598691302,Affluent,Employed,45-54
1796,Male,61.44439588159071,Very Affluent,Unemployed,55-64
1797,Female,35.26453964437899,Disadvantaged,Unemployed,35-44
1798,Female,31.042813516875228,Disadvantaged,Employed,25-34
1799,Female,21.909204678219417,Very Disadvantaged,Employed,15-24
1800,Male,56.5254046735388,Very Affluent,Not in Labour Force,55-64
1801,Female,39.99384226441676,Average,Not in Labour Force,35-44
1802,Male,62.156377575811725,Very Affluent,Not in Labour Force,55-64
1803,Female,24.745106852947043,Very Disadvantaged,Employed,25-34
1804,Female,28.158843493144825,Disadvantaged,Employed,25-34
1805,Male,52.02369680523555,Affluent,Employed,45-54
1806,Female,19.710031245121538,Very Disadvantaged,Not in Labour Force,15-24
1807,Male,57.20977537466895,Very Affluent,Employed,55-64
1808,Male,60.64582758583157,Very Affluent,Employed,55-64
1809,Female,17.410929685242476,Very Disadvantaged,Unemployed,15-24
1810,Female,19.79239457989688,Very Disadvantaged,Not in Labour Force,15-24
1811,Female,39.5019497812826,Average,Employed,35-44
1812,Female,27.47083793887144,Disadvantaged,Employed,25-34
1813,Female,28.435200048494217,Disadvantaged,Employed,25-34
1814,Female,37.815988515098816,Average,Employed,35-44
1815,Female,28.792914160583095,Disadvantaged,Employed,25-34
1816,Male,58.14793889949513,Very Affluent,Employed,55-64
1817,Male,63.60242988970824,Very Affluent,Not in Labour Force,55-64
1818,Male,57.12437723904397,Very Affluent,Employed,55-64
1819,Male,73.77974073744427,Very Affluent,Not in Labour Force,65-74
1820,Male,48.31744312170436,Affluent,Employed,45-54
1821,Female,18.414220661184096,Very Disadvantaged,Employed,15-24
1822,Male,62.05175792469321,Very Affluent,Employed,55-64
1823,Male,70.22358480471189,Very Affluent,Not in Labour Force,65-74
1824,Male,75.71984134070445,Very Affluent,Not in Labour Force,75+
1825,Male,52.95063236311831,Affluent,Employed,45-54
1826,Male,68.62314835301282,Very Affluent,Not in Labour Force,65-74
1827,Female,21.13781532992531,Very Disadvantaged,Not in Labour Force,15-24
1828,Male,58.59556115700909,Very Affluent,Employed,55-64
1829,Male,51.91645901028798,Affluent,Employed,45-54
1830,Male,73.81296920606928,Very Affluent,Not in Labour Force,65-74
1831,Female,22.679742299534645,Very Disadvantaged,Employed,15-24
1832,Female,30.230688462495845,Disadvantaged,Not in Labour Force,25-34
1833,Female,27.065754564461425,Very Disadvantaged,Employed,25-34
1834,Female,24.390636168116394,Very Disadvantaged,Employed,25-34
1835,Female,30.511643379557405,Disadvantaged,Employed,25-34
1836,Female,20.86343171296133,Very Disadvantaged,Employed,15-24
1837,Female,26.981938501273873,Very Disadvantaged,Employed,25-34
1838,Male,71.01304132706964,Very Affluent,Not in Labour Force,65-74
1839,Male,75.89340472552118,Very Affluent,Not in Labour Force,75+
1840,Female,15.314623454415404,Very Disadvantaged,Employed,15-24
1841,Female,26.407050625671186,Very Disadvantaged,Employed,25-34
1842,Male,67.93962667540735,Very Affluent,Employed,65-74
1843,Male,49.48014601994113,Affluent,Employed,45-54
1844,Male,57.15889379281488,Very Affluent,Employed,55-64
1845,Male,84.32374605114344,Very Affluent,Not in Labour Force,75+
1846,Female,20.665758485720225,Very Disadvantaged,Employed,15-24
1847,Male,43.985847489332556,Average,Employed,35-44
1848,Male,61.232392934659806,Very Affluent,Not in Labour Force,55-64
1849,Female,29.432649941674924,Disadvantaged,Employed,25-34
1850,Male,44.903498019516995,Average,Employed,45-54
1851,Male,77.75055701845659,Very Affluent,Not in Labour Force,75+
1852,Female,26.885532642317735,Very Disadvantaged,Employed,25-34
1853,Female,31.581698231151975,Disadvantaged,Not in Labour Force,25-34
1854,Female,40.527668258091246,Average,Employed,35-44
1855,Male,47.811162334508445,Affluent,Employed,45-54
1856,Male,45.52696049757282,Affluent,Employed,45-54
1857,Male,50.61591217218521,Affluent,Employed,45-54
1858,Female,32.540412765081726,Disadvantaged,Employed,25-34
1859,Female,38.315478299002585,Average,Employed,35-44
1860,Female,31.950755259167224,Disadvantaged,Employed,25-34
1861,Female,37.94241474247994,Average,Employed,35-44
1862,Female,18.740585047223462,Very Disadvantaged,Employed,15-24
1863,Male,72.13505481961317,Very Affluent,Not in Labour Force,65-74
1864,Female,26.13281022244706,Very Disadvantaged,Employed,25-34
1865,Female,20.42142840005846,Very Disadvantaged,Not in Labour Force,15-24
1866,Male,69.23358922308185,Very Affluent,Not in Labour Force,65-74
1867,Male,58.708648716005115,Very Affluent,Employed,55-64
1868,Male,76.7250392823748,Very Affluent,Not in Labour Force,75+
1869,Male,57.76181280138803,Very Affluent,Not in Labour Force,55-64
1870,Female,17.51767834438687,Very Disadvantaged,Not in Labour Force,15-24
1871,Male,43.8017411942011,Average,Employed,35-44
1872,Female,24.493969169091386,Very Disadvantaged,Employed,25-34
1873,Male,44.28707359935909,Average,Employed,45-54
1874,Female,20.838036176311995,Very Disadvantaged,Employed,15-24
1875,Female,38.726532388915146,Average,Employed,35-44
1876,Male,60.59324833727335,Very Affluent,Unemployed,55-64
1877,Female,33.04859814078851,Disadvantaged,Not in Labour Force,25-34
1878,Female,33.58248058231656,Disadvantaged,Employed,25-34
1879,Male,66.63386714435642,Very Affluent,Not in Labour Force,65-74
1880,Male,46.99526271568769,Affluent,Unemployed,45-54
1881,Female,25.46659208318244,Very Disadvantaged,Employed,25-34
1882,Male,61.91928574080559,Very Affluent,Employed,55-64
1883,Female,21.56730600485957,Very Disadvantaged,Not in Labour Force,15-24
1884,Male,44.75376205226138,Average,Not in Labour Force,45-54
1885,Male,46.778451336782354,Affluent,Employed,45-54
1886,Female,33.363382811499534,Disadvantaged,Not in Labour Force,25-34
1887,Female,25.217694296853477,Very Disadvantaged,Employed,25-34
1888,Male,47.16994926945804,Affluent,Employed,45-54
1889,Female,35.785263677402696,Disadvantaged,Employed,35-44
1890,Male,57.28213200661769,Very Affluent,Employed,55-64
1891,Female,28.621251475629947,Disadvantaged,Employed,25-34
1892,Male,48.38157809781583,Affluent,Employed,45-54
1893,Male,44.08217392650154,Average,Not in Labour Force,45-54
1894,Female,20.58424682228228,Very Disadvantaged,Employed,15-24
1895,Female,18.164603374641217,Very Disadvantaged,Employed,15-24
1896,Male,60.41228453304821,Very Affluent,Employed,55-64
1897,Female,24.495419309370114,Very Disadvantaged,Unemployed,25-34
1898,Female,22.01042166594354,Very Disadvantaged,Not in Labour Force,15-24
1899,Female,22.201053829326714,Very Disadvantaged,Employed,15-24
1900,Female,31.595994710746815,Disadvantaged,Not in Labour Force,25-34
1901,Male,42.02171331550234,Average,Employed,35-44
1902,Male,61.21533197784012,Very Affluent,Not in Labour Force,55-64
1903,Male,61.43404649196289,Very Affluent,Employed,55-64
1904,Female,34.41709072489685,Disadvantaged,Employed,35-44
1905,Female,21.7192367207582,Very Disadvantaged,Employed,15-24
1906,Female,37.98347408059918,Average,Not in Labour Force,35-44
1907,Male,71.00715713887129,Very Affluent,Not in Labour Force,65-74
1908,Female,18.11431786394402,Very Disadvantaged,Not in Labour Force,15-24
1909,Female,32.3900222246028,Disadvantaged,Employed,25-34
1910,Male,54.97276541368089,Affluent,Not in Labour Force,55-64
1911,Male,55.83542114730387,Affluent,Not in Labour Force,55-64
1912,Male,60.041639402283266,Very Affluent,Not in Labour Force,55-64
1913,Male,42.63945277611845,Average,Employed,35-44
1914,Male,44.77731464027967,Average,Employed,45-54
1915,Female,24.040230800264784,Very Disadvantaged,Employed,25-34
1916,Female,17.632866737287976,Very Disadvantaged,Employed,15-24
1917,Female,24.906143507022914,Very Disadvantaged,Employed,25-34
1918,Male,53.40301031578126,Affluent,Employed,45-54
1919,Female,34.956230185748296,Disadvantaged,Employed,35-44
1920,Female,31.120641896859624,Disadvantaged,Employed,25-34
1921,Female,29.21523080001049,Disadvantaged,Employed,25-34
1922,Male,61.66565577877968,Very Affluent,Employed,55-64
1923,Female,34.882227360718666,Disadvantaged,Unemployed,35-44
1924,Male,63.25680926244783,Very Affluent,Employed,55-64
1925,Male,71.44211318252283,Very Affluent,Unemployed,65-74
1926,Male,61.79393546943873,Very Affluent,Employed,55-64
1927,Female,35.099182112823925,Disadvantaged,Employed,35-44
1928,Male,47.41983114782194,Affluent,Not in Labour Force,45-54
1929,Female,37.74254030995555,Average,Employed,35-44
1930,Male,51.872326408484696,Affluent,Employed,45-54
1931,Male,50.13643597985255,Affluent,Employed,45-54
1932,Female,37.63715732395112,Average,Unemployed,35-44
1933,Female,36.48849178627832,Average,Employed,35-44
1934,Male,45.26746759022364,Affluent,Employed,45-54
1935,Male,47.56948845663138,Affluent,Employed,45-54
1936,Female,22.64620885781843,Very Disadvantaged,Employed,15-24
1937,Male,50.479668343206825,Affluent,Employed,45-54
1938,Female,34.55891853844772,Disadvantaged,Employed,35-44
1939,Female,37.317748479319604,Average,Employed,35-44
1940,Female,32.51089253112279,Disadvantaged,Not in Labour Force,25-34
1941,Male,43.747227998028045,Average,Employed,35-44
1942,Female,17.550551918524903,Very Disadvantaged,Unemployed,15-24
1943,Male,78.08170391165552,Very Affluent,Not in Labour Force,75+
1944,Male,76.1324329796635,Very Affluent,Not in Labour Force,75+
1945,Female,31.095971420167842,Disadvantaged,Employed,25-34
1946,Male,48.01438884074647,Affluent,Employed,45-54
1947,Male,54.64231470743262,Affluent,Employed,55-64
1948,Male,70.65689078519378,Very Affluent,Not in Labour Force,65-74
1949,Male,48.53321469054049,Affluent,Employed,45-54
1950,Female,38.518758541637894,Average,Not in Labour Force,35-44
